GERALD MICO,FACISTOL,BSIT,1ST YEAR,1B,MALE,05-10-2022
TEST,TEST,TEST,TEST,TEST,FEMALE,05-10-2022
GERALD MICO,FACISTOL,BSIT,1ST YEAR,1B,FEMALE,05-10-2022
GERALD MICO,FACISTOL,BSIT,1ST YEAR,1B,FEMALE,05-10-2022
TEST,TEST,TEST,TEST,TEST,MALE,05-10-2022
GERALD MICO,FACISTOL,BSIT,1ST YEAR,1B,MALE,05-10-2022
GERALD MICO,FACISTOL,BSIT,1ST YEAR,1B,MALE,05-10-2022
GERALD MICO,FACISTOL,BSIT,1ST YEAR,1B,MALE,05-10-2022
GERALD MICO,FACISTOL,BSIT,1ST YEAR,1B,MALE,05-10-2022
GERALD MICO,FACISTOL,BSIT,1ST YEAR,1B,MALE,05-10-2022
GERALD MICO,FACISTOL,BSIT,1ST YEAR,1B,MALE,05-10-2022
TEST,TEST,TEST,TEST,TEST,MALE,05-10-2022
